project_name,rootdata_full_introduction,rootdata_tag_names
0G,0G (Zero Gravity) is a decentralized AI operating system that acts as the foundational layer for decentralized AI applications and chains. It efficiently orchestrates utilization of hardware resources such as storage and compute and software assets such as data and models to handle the scale and complexity of AI workloads.,
Allora,"Allora is a self-improving decentralized AI network. Allora is designed to empower applications with smarter, more secure AI through a self-improving network of machine learning models. By combining research at the frontier of crowdsourcing mechanisms like peer prediction, federated learning, and zkML, Allora unlocks a vast new design space of applications at the intersection of crypto and AI.",
Aptos,Aptos is a safe and scalable layer 1 blockchain that aims to bring decentralized assets into the everyday lives of billions of users.,
Arbitrum,"Arbitrum, created by the Offchain Labs team, is an Ethereum Layer2 scaling solution based on Optimistic Rollup technology. It leverages the ability to communicate between L1 and L2, allowing any form of Ethereum asset to be transferred between Layer 1 and Layer 2 without the need for trust. Even though Arbitrum transactions are still settled on Ethereum, only raw transaction data is submitted to Ethereum, with execution and contract storage occurring off-chain. This makes the gas fee required on Arbitrum much smaller than on the mainnet, and contracts are fully compatible with no gas limit.",
Beldex,"Beldex is a privacy-based ecosystem comprising of privacy-first decentralized applications, such as BChat, BelNet, the Beldex Browser, the Beldex Privacy Protocol, and the Beldex Bridge.",
Berachain,"Berachain is a high-performance EVM-compatible blockchain built on Proof-of-Liquidity consensus. Proof-of-Liquidity is a novel consensus mechanism that aims to align network incentives, creating strong synergy between Berachain validators and the ecosystem of projects. Berachain's technology is built on Polaris, a high-performance blockchain framework for building EVM-compatible chains on-top of the CometBFT consensus engine.",
Billions Network,"Billions Network is a digital identity verification platform designed to offer a future where humans and AI can trust each other, including Sam Altman’s crypto project, World. The platform, which utilizes zero-knowledge proof tech, seeks to provide a scalable and secure method for verifying both human and AI identities.",
Camp Network,"Camp Network is a modular L2 leveraging offchain data from Web2 social platforms to enable onchain value creation. Camp Network empowering users and creators in social media, music, entertainment, and more.",
Ethereum,"Ethereum is the first decentralized, open-source blockchain with smart contract functionality. It was initially described in a white paper by Vitalik Buterin in late 2013 and launched in 2015. This network serves as the foundation for an ecosystem of interoperable, decentralized applications (dApps) powered by token economies and automated smart contracts. Assets and applications designed on Ethereum are built with self-executing smart contracts that eliminate the need for a central authority or intermediary. u2028The network is powered by its native cryptocurrency ether (ETH), which is used to pay transaction fees. Ethereum has the characteristics of being open-source, programmable, private, and censorship-resistant, forming the backbone of a decentralized internet.",
EverlynAI,"Lyn is the open-source foundational video model and super-agential multimodal ecosystem that was designed to deliver an open dream machine to the world. Lyn’s flagship open-source model, Openlyn, is reshaping the capabilities of video artificial intelligence in terms of output duration, interact-ability, generation latency, and hyper-realistic visual quality. Lyn's video creation engine and platform, Everworld, is revolutionizing how human beings engage with photorealistic virtual representations of themselves through personalized and interactive video agents capable of performing any task.",
Falcon Finance,Falcon Finance is a general-purpose staking infrastructure that facilitates on-chain liquidity and yield.,
Huma,"Huma Finance is a PayFi network powers financing of global payments, with instant access to liquidity anywhere, anytime.",
INFINIT,"INFINIT is the comprehensive agentic DeFi ecosystem that transforms how users interact with DeFi, leveraging INFINIT AI Agent Infrastructure. Users can transform ideas into on-chain transactions by describing any DeFi strategy in natural language and watching INFINIT's AI Agents build, verify, and execute the transactions automatically.",
Injective,"Injective is an interoperable layer-1 blockchain that powers the next generation of financial applications. Injective uniquely provides plug-and-play financial infrastructure primitives such as high-performance on-chain decentralized trading infrastructure, decentralized bridges, oracles, and multiple composable smart contract layers such as CosmWasm and EVM.",
Irys,"Irys is the Layer-1 datachain, advancing beyond the existing Layer-1 model with a design purpose-built for AI. By combining a low-cost storage layer with a high-performance, EVM-compatible execution layer (IrysVM), Irys enables data programmability.",
Mantle,"Mantle is a high-performance Ethereum layer-2 network built with a modular architecture that delivers low fees and high security. Builders can use Mantle's unique design to create dApps with an exceptional user experience, while also relying on Ethereum's unparalleled security. Mantle is a product of BitDAO and is governed by the $BIT community.",
Mavryk,Mavryk Network is an RWA tokenization platform with non-custodial features including on-chain protocol treasury and liquidity mining. The team has also developed a new RWA token standard and multiple decentralized exchanges (DEX) for non-custodial trading and lending.,
MegaETH,MegaETH is building ultra high-throughput & low-latency EVM-compatible L2s. Accelerating the scalability endgame of Ethereum.,
Mira Network,"Mira is a vertically integrated framework tailored for AI-native applications. It incorporates a unique economic model where payment for end-use of AI resources, including models, data, and compute, is settled via crypto rails.",
Mitosis,"Mitosis is the liquidity protocol for the modular era that redefines cross-chain liquidity. Mitosis makes cross-chain LPing more attractive by making it liquid. Mitosis LPs receive derivative tokens that are 1:1 convertible to their locked assets. LPs can use these derivative tokens to participate in various DeFi applications on the supported Ethereum L1 chain and L2 rollups, essentially enabling LPs to let their cross-chain assets work for additional yield on top of the default fee sharing.",
Momentum,"Momentum is the leading Move Central Liquidity Engine with solutions including Multi-Sig Treasury Management, Token Vesting, and Liquidity Provisioning. Momentum was previously called MSafe (Momentum Safe), and was a multi-signature wallet solution.",
Monad,"Monad is building a high-performance, Layer 1 blockchain for the next generation of decentralized applications. Monad's mission is to accelerate the disruptive force of decentralization by building a blockchain that is 100x to 1000x faster than its nearest competitors. This will alleviate severe bottlenecks in existing blockchains and enable more complex applications and wider adoption.",
Multipli,"Multipli is a ZK based multi-chain yield protocol that allows user to make reliable yield on stables, natives and even traditionally non-yield bearing assets (eg. BTC, MATIC, PAXG, etc).",
Near,"NEAR is a sharded, proof-of-stake, layer-one blockchain that aims to incentivize a network of computers to operate a platform for developers to create and launch decentralized applications. Central to its design is the concept of sharding, a process that splits the network's infrastructure into several segments so that nodes only have to handle a fraction of the network's transactions. The NEAR mainnet went live in August 2020.",
Novastro,"Novastro is a Layer 2 chain for RWA powered by AI that integrates MoveVM and EigenLayer AVS, delivering Ethereum-level security and Move’s scalability to unlock tokenised yield opportunities across RWAs & DeFi protocols. The network’s framework is centered around $RUSD, a stablecoin designed for Real World Assets, enabling seamless tokenization, trading, and yield generation. Novastro offers end-to-end regulatory compliant Turnkey Tokenization Services for projects seeking to tokenize all types of RWAs.",
OpenLedger,"OpenLedger is an AI-blockchain infrastructure for training and deploying specialized models using community-owned datasets (Datanets). All actions such as dataset uploads, model training, reward credits, and governance participation are executed on-chain. Users can create Datanets, contribute to public ones, build models, and publish them with transparent tokenized mechanics.",
PEAQ,"peaq is the Web3 network powering the Economy of Things (EoT) on Polkadot. It enables entrepreneurs and developers to build decentralized applications for vehicles, robots, and devices, while empowering users to govern and earn as connected machines provide goods and services.",
PlayAI,Play AI is a modular chain designed to supercharge developers with high-quality data and infrastructure to deploy AI agents and models — while also incentivize the users to share their gameplay data to be used for training the AI models. Play AI leverages blockchain to provide access to a diverse range of high-quality datasets securely and transparently — and provide computing and validation through existing nodes.,
Polygon,"Polygon is a decentralized Ethereum scaling platform that enables developers to build user-friendly, scalable dApps with low transaction fees without compromising security.",
Sei,"Sei is a general purpose, open-source Layer 1 blockchain specialized for the exchange of digital assets. Sei addresses the exchange scalability problem by building the first Layer 1 specialized for trading, optimizing every layer of the stack to offer the best infrastructure for the exchange of digital assets.",
Sentient,"Sentient is an open-source artificial intelligence development platform. Sentient will launch ""campaigns"" for contributors, with each campaign having specific metrics for evaluating contributions and rewards based on these metrics.",
Somnia,"Somnia is an L1 blockchain and a set of omnichain protocols that connect metaverses, enabling a new, open, and unified virtual society. Somnia opens up endless possibilities for builders to create content that is portable and remixable content by upgrading existing NFTs. Somnia was developed by the Virtual Society Foundation (VSF), a nonprofit organization initiated by MSquared, and Improbable.",
Sonic,"Sonic is a Gaming Chain on Solana and proposes the first expansion architecture HyperGrid, which can help game developers efficiently process and manage game status, logic and events. Sonic is 100% compatible with all EVM smart contracts and has a native game engine, providing game developers with comprehensive On-Chain game development components.",
Story,"Story Protocol is building web3 technology to revolutionize how narrative universes are created. Story Protocol's mission is to unleash an entirely new way to create, govern, and license IP on-chain, ultimately forming an ecosystem of “story legos” that can be remixed and composed. Story Protocol provides a streamlined framework to manage the entire lifecycle of IP development, enabling features like provenance tracking, frictionless licensing and revenue sharing. Made for creators across all media – prose, images, gaming, audio and more – applications built on Story Protocol give writers and artists the ability to track their work's provenance, allowing anyone to contribute and remix while capturing the value of their contributions.",
Surf,Surf is a crypto AI command hub that extracts context from sources users trust and enhances it with curated crypto X feeds and on-chain data to deliver actionable insights.,
Talus,"Talus Network is a blockchain platform with a focus on decentralizing artificial intelligence. The network harnesses the power of Move, emphasizing security, speed, and an enhanced developer experience. By fostering a diverse ecosystem of smart agents for decentralized applications, Talus Network creates a future where technology empowers its users in an equitable and accessible way. For instance, in DeFi, monetizable smart agents optimize liquidity-providing strategies across various protocols and chains. In gaming, they act as autonomous agents deployed by players or guilds to collect resources on their behalf.",
Theoriq,"Theoriq is a modular and composable AI Agent Base Layer for machine learning and related complex data-driven computations for Web3. It is partnering with leading Web3 protocols as design partners to apply machine learning to DeFi, gaming, social, and data infrastructure.",
Turtle Club,"Turtle is a Liquidity Distribution Protocol that operates without smart contracts. Turtle aims to align the incentives amongst key DeFi players, Liquidity Providers (LPs), Developers, Venture Capitalists, Security Auditors, and Miners.",
UXLINK,"UXLINK is a web3 social system designed for mass adoption, allowing users to build social assets and trade cryptocurrencies. It encompasses a series of highly modularized Dapps, spanning from onboarding to graph formation, group tools, to socialized trading—all seamlessly integrated within Telegram",
Virtuals Protocol,"Virtuals Protocol is a decentralized factory that makes all sorts of AI characters (that can respond via text, voice and motion) for different virtual worlds, like games or online spaces. VIRTUAL Protocol aligns incentives for the decentralized creation and monetization of AI personas for every virtual interaction (gaming, metaverses, online interactions, or beyond).",
Walrus,"Walrus is a decentralized storage and data availability protocol designed specifically for large binary files, or ""blobs"". Walrus focuses on providing a robust but affordable solution for storing unstructured content on decentralized storage nodes while ensuring high availability and reliability even in the presence of Byzantine faults.",
Warden Protocol,"Warden Protocol is a full-stack purpose-built L1 blockchain designed for developers to build Intelligent Applications. Warden creates a verifiable, AI-native blockchain where models are accessible to anyone and anywhere, their outputs directly powering smart applications. The platform is designed to build unlimited applications:: Intelligent Applications run seamlessly onchain and operate offchain, or vice versa. Developers on Cosmos, Ethereum, or Solana can build with Warden. Warden is chain-agnostic.",
XION,"XION is a Layer 1 blockchain specifically designed for consumer applications, delivering seamless user experiences tailored to everyday users. Through its innovative Chain Abstraction infrastructure, XION simplifies complex crypto interactions with features like protocol-level account abstraction, gasless transactions, signature abstraction, cross-device usage, fiat pricing, and more.",
