id,keyword,level,categories,one_sentence_definition
S1,Layer 1 blockchain platforms,Generic,['Layer 1 / Core Protocols'],"Base-layer public blockchains that provide fundamental consensus, execution, and settlement for decentralized applications and assets."
S2,EVM compatibility,Specific,"['Layer 1 / Core Protocols', 'Infrastructure & Developer Tooling']","Support for the Ethereum Virtual Machine and its tooling, enabling deployment and execution of Solidity smart contracts and Ethereum-compatible dApps."
S3,Move VM / Move-based execution,Specific,['Layer 1 / Core Protocols'],"Blockchains that use the Move language and VM for smart contract execution, offering different safety and resource models compared to EVM."
S4,Modular Layer 2 architectures,Generic,['Layer 2 & Scaling'],"Layer-2 designs that split functions (sequencing, execution, fraud-proof/validity, data availability) across specialized components to improve scalability and UX."
S5,Optimistic rollups,Specific,['Layer 2 & Scaling'],"L2 scaling solutions that post transaction data on L1 and assume correctness by default, using fraud proofs to resolve disputes."
S6,Zero-knowledge proofs & ZK rollups,Specific,"['Layer 2 & Scaling', 'Privacy & Zero-Knowledge']",Cryptographic proof systems used for succinct validity verification (including ZK rollups) and privacy-preserving proofs in scaling and privacy use cases.
S7,Decentralized storage & data availability for blobs,Specific,"['Infrastructure & Developer Tooling', 'Data, Analytics & Indexing']",Protocols and DA layers focused on storing and serving large binary files (blobs) and ensuring data availability and redundancy across nodes.
S8,AI-native blockchain infrastructure,Generic,"['Layer 1 / Core Protocols', 'Other']","Blockchain platforms and primitives specifically designed to natively host, index, verify, and economically coordinate ML models, datasets, and AI compute resources."
S9,On-chain datasets & model marketplaces (data tokenization),Generic,"['Data, Analytics & Indexing', 'Other']","Tokenized marketplaces and primitives for publishing, licensing, selling, and rewarding contributions to datasets and ML models on-chain."
S10,Federated learning & crowdsourced ML mechanisms,Specific,"['Other', 'Privacy & Zero-Knowledge']",Distributed ML training techniques and incentive mechanisms that aggregate local model updates or peer predictions without centralizing raw data.
S11,zkML / zero-knowledge machine learning,Specific,"['Privacy & Zero-Knowledge', 'Other']","Techniques that apply zero-knowledge proofs to prove properties about ML models or their execution (e.g., correctness, provenance, privacy) without revealing sensitive inputs."
S12,Oracles & off-chain data integration,Generic,"['Infrastructure & Developer Tooling', 'Cross-chain & Interoperability']",Services and protocols that reliably bring external (Web2 or chain) data on-chain and provide authenticated feeds for smart contracts.
S13,Decentralized identity & ZK-based human/AI verification,Generic,"['Wallets, Identity & Access', 'Privacy & Zero-Knowledge']","On-chain identity systems and privacy-preserving verification (e.g., ZK proofs) to assert attributes or human/agent status without exposing private details."
S14,Cross-chain bridges & interoperability protocols,Generic,['Cross-chain & Interoperability'],"Mechanisms, bridges, and protocol layers that enable secure transfer of assets and messages across distinct blockchains and execution environments."
S15,"Liquidity protocols, AMMs & DEX primitives",Generic,['DeFi'],"Automated market makers, order books, and other decentralized primitives that enable permissionless trading, lending, and on-chain liquidity provision."
S16,RWA tokenization & compliant asset tokenization,Specific,"['DeFi', 'Regulation & Compliance']","Standards, tooling, and services for representing real-world assets (property, loans, commodities) as on-chain tokens with compliance and custody considerations."
S17,"Novel consensus mechanisms (e.g., Proof-of-Liquidity)",Specific,['Layer 1 / Core Protocols'],"Non-traditional consensus designs that tie block production/validation rights to alternative economic resources (liquidity, stake, etc.) to align protocol incentives."
S18,Staking infrastructure & multisig treasury management,Specific,"['DeFi', 'Wallets, Identity & Access']","On-chain staking services, multisignature treasury controls, and related tooling for managing protocol funds, vesting, and validator/operator workflows."
S19,Derivative LP tokens & liquidized liquidity,Specific,['DeFi'],Mechanisms that issue tradable derivative tokens representing locked liquidity positions so LPs can re-use capital and earn additional yield.
S20,"Account abstraction, gasless transactions & signature abstraction",Specific,"['Wallets, Identity & Access', 'Infrastructure & Developer Tooling']","Protocol-level features and account models that decouple transaction signing/payment, enabling gasless UX, session keys, and customizable validation logic."
S21,On-chain governance & DAO tooling,Generic,['DAOs & Governance'],"Smart-contract tooling, voting primitives, and governance frameworks used to coordinate protocol decisions, token-weighted votes, and treasury allocations."
S22,Privacy-preserving protocols & privacy-first dApps,Generic,['Privacy & Zero-Knowledge'],"Designs and applications that prioritize confidentiality (transaction privacy, private identities, private computation) using cryptographic primitives and privacy layers."
S23,Decentralized compute & resource orchestration,Generic,"['Infrastructure & Developer Tooling', 'Other']","Marketplaces and orchestration layers that allocate, schedule, and verify distributed compute resources (GPU/CPU) for off-chain and on-chain workloads."
S24,AI agents & automated on-chain agents,Generic,"['Other', 'Infrastructure & Developer Tooling']","Autonomous or semi-autonomous software agents that interact with smart contracts and off-chain systems to perform tasks like trading, data collection, or resource management."
S25,"NFTs, metaverse interoperability & content provenance",Generic,"['NFTs, Gaming & Metaverse', 'Data, Analytics & Indexing']","Standards and protocols for tokenized digital content, provenance tracking, composability, and interoperability across virtual worlds and IP licensing systems."
S26,Gaming-specific chains & on-chain game engines,Specific,"['NFTs, Gaming & Metaverse', 'Infrastructure & Developer Tooling']","Blockchains and integrated toolkits optimized for game state, low-latency events, native game engines, and game-focused developer primitives."
S27,Omnichain & modular cross-chain protocols,Generic,['Cross-chain & Interoperability'],Protocol suites and designs that enable a unified developer and asset experience across multiple chains using composable cross-chain primitives.
S28,High-performance exchange-specialized L1/L2 primitives,Specific,"['Layer 1 / Core Protocols', 'DeFi']","Low-latency, throughput-optimized execution features and order-routing primitives tailored for trading and exchange use cases at chain-level."
S29,"Developer SDKs, frameworks & composable smart contract layers",Generic,['Infrastructure & Developer Tooling'],"Tooling, SDKs, and modular smart contract layers that speed up dApp development and enable composability across runtimes and chains."
S30,On-chain model training/deployment marketplaces & model governance,Specific,"['Data, Analytics & Indexing', 'DAOs & Governance']","Platforms that coordinate and monetize on-chain training, model deployment, verifiable evaluation, and governance for ML models with tokenized incentives."
