project_name,twitter_handle,rootdata_full_introduction,rootdata_brief_introduction,rootdata_tag_names
lava-network,lavanetxyz,"Lava is a modular data access layer for blockchains. It introduces specs: a modular primitive that lets contributors permissionlessly add support for new chains and data services to the base protocol. RPC is the first service supported by the protocol but we are soon bringing further choice by integrating with indexing and API partners, such as Subsquid. Data consumers send requests to Lava’s network of data providers (node operators), who join Lava to meet demand for data. Lava creates dynamic, scalable markets around any blockchain data service. The protocol also creates crypto-economic guarantees around the quality of service, across speed, uptime and data accuracy. ",Modular data access layer,"Data Market,Infra,Modular"
injective,injective,"Injective is an interoperable layer-1 blockchain that powers the next generation of financial applications. Injective uniquely provides plug-and-play financial infrastructure primitives such as high-performance on-chain decentralized trading infrastructure, decentralized bridges, oracles, and multiple composable smart contract layers such as CosmWasm and EVM.",Layer1 Blockchain Optimized for DeFi Applications,"Layer1,DeFi,Infra"
kaito,kaitoai,"Kaito is the distribution center of crypto for information, attention and capital evolving to become the interoperable InfoFi layer that sits on top of the internet’s walled gardens, connecting creators, users, and brands in a fundamentally new way. By indexing thousands of sources — across social media, governance forums, research, news, podcasts, conference transcripts, and more — and combining this with proprietary search algorithms, semantic LLM capabilities, and real-time analytics, Kaito Pro streamlines access to high-quality, actionable insights in the crypto space. Kaito Yaps leverages advanced AI algorithms to extract and interpret rich signals — such as social graphs and semantic understanding — to quantify attention. Kaito Connect is AI-powered InfoFi network that enables the market to distribute attention and capital in a fairer, more transparent and more efficient way, while rewarding all participants.",Distribution center of crypto,"Tools,Data & Analysis,AI,InfoFi"
wormhole,wormhole,"Wormhole is a decentralized, universal message-passing protocol that enables developers and users of cross chain applications to leverage the advantages of multiple ecosystems.",Web3 Universal Messaging Protocol,
sei,SeiNetwork,"Sei is a general purpose, open-source Layer 1 blockchain specialized for the exchange of digital assets. Sei addresses the exchange scalability problem by building the first Layer 1 specialized for trading, optimizing every layer of the stack to offer the best infrastructure for the exchange of digital assets.",Layer 1 blockchain for digital assets exchange,"Layer1,Infra,Parallel EVM"
mubarakah,Mubarakah_CTO,"Mubarak is a female version of Meme Mubarak created by netizens based on the image of He Yi, co-founder of Binance.",Female Mubarak Memecoin,MEME
kindred-2,kindred_ai,"Kindred is a decentralized AI companion platform with over 20 well-known IPs from the Web2 and Web3 domains. It aims to transform iconic IPs into agents with emotional intelligence, redefining human-computer interaction.",Decentralized AI companion platform,"Social,AI,AI Agent"
xrp,Ripple,"Ripple is a real-time gross settlement system, currency exchange, and remittance network created by Ripple Labs Inc., a US-based technology company. Released in 2012, Ripple is based on a distributed open source protocol and supports tokens representing fiat currency, cryptocurrency, commodities, or other units of value. It claims to enable ""secure, instant, and nearly free global financial transactions of any size with no chargebacks"".",International remittance solution,"Enterprise Blockchain,Payment"
chronoforge,playchronoforge,"ChronoForge is a Genesis adventure project offering 7,500 unique playable characters and mini-games. These characters represent different races and can participate in metaverse gaming, providing users with a unique gaming experience. Through this project, users can also obtain $CHRONOS utility tokens for additional adventures and land NFTs.",Metaverse Games,Gaming
beldex,BeldexCoin,"Beldex is a privacy-based ecosystem comprising of privacy-first decentralized applications, such as BChat, BelNet, the Beldex Browser, the Beldex Privacy Protocol, and the Beldex Bridge.",Privacy-based ecosystem consisting of privacy-first decentralized applications,"Layer1,Privacy,Infra"
kalshi,Kalshi,"Kalshi is a federally regulated prediction market that supports cryptocurrency deposits.where investors can trade event contracts tied to real-world events. Trading contracts based on the outcome of specific events allows users to tap into a wider range of topics compared to traditional stock and derivatives. Whether you are an expert in a particular field or have a keen interest in certain subjects (news, finance, pop culture, etc.), Kalshi provides an opportunity to earn profits based on accurate predictions. Kalshi also provides extensive resources and tools (tutorials, market data, etc.) to help traders understand prediction markets and improve their trading strategies.",Prediction Market,Prediction market
coinbase,coinbase,"Coinbase（NASDAQ: COIN）is one of the largest cryptocurrency exchanges in the world, founded in June 2012 by Brian Armstrong, a former Airbnb engineer. As of July 2022, it has around 98 million verified users, 13,000 institutions, and 230,000 ecosystem partners in over 100 countries. People trust Coinbase to easily and securely invest, spend, save, earn, and use crypto. Coinbase's mission is to increase economic freedom globally.",Cryptocurrency exchange（NASDAQ: COIN）,"CEX,Custody,CeFi,Publicly listed company,Crypto Stocks"
folks-finance,folksfinance,"Folks Finance is a capital markets protocol for borrowing and lending, built on top of Algorand. Users can deposit assets to accumulate yield, take loans by providing collateral, swap assets via Folks Router, and participate in Algorand Governance through gALGO and xALGO assets.",Capital markets protocol for borrowing and lending,"Lending,DeFi"
pippin,pippinlovesyou,pippin is a Meme coin on the Solana chain.,Meme Coin on the Solana Chain,MEME
